epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
1,618.514,1.46968,7.22175,1.62804,0.53213,0.43703,0.4415,0.24694,1.47216,5.04577,1.6404,0.00998325,0.00332775,0.00998325,0.00332775,0.00998325,0.00332775,0.00998325,0.00332775
2,1195.94,1.44234,5.5981,1.59325,0.43427,0.30132,0.27732,0.15396,1.5363,11.8207,1.7298,0.0189941,0.00633136,0.0189941,0.00633136,0.0189941,0.00633136,0.0189941,0.00633136
3,1776.53,1.51012,5.85067,1.66499,0.33606,0.18161,0.15504,0.07364,1.83293,inf,2.05897,0.0270149,0.00900497,0.0270149,0.00900497,0.0270149,0.00900497,0.0270149,0.00900497
4,2374.61,1.51889,5.86211,1.68548,0.55945,0.35315,0.37736,0.22256,1.42465,5.72101,1.68299,0.025545,0.008515,0.025545,0.008515,0.025545,0.008515,0.025545,0.008515
5,2947.06,1.45222,5.33207,1.62862,0.61379,0.4515,0.49526,0.30846,1.31342,4.46062,1.57015,0.02406,0.00802,0.02406,0.00802,0.02406,0.00802,0.02406,0.00802
6,3518.04,1.39879,5.04533,1.59132,0.58029,0.45761,0.48629,0.31551,1.23047,4.56721,1.5092,0.022575,0.007525,0.022575,0.007525,0.022575,0.007525,0.022575,0.007525
7,4088.03,1.37148,4.81665,1.565,0.67682,0.50735,0.5722,0.38046,1.20022,3.89899,1.47353,0.02109,0.00703,0.02109,0.00703,0.02109,0.00703,0.02109,0.00703
8,4684.33,1.33874,4.60478,1.54144,0.68753,0.54331,0.60577,0.42243,1.11319,3.49546,1.41642,0.019605,0.006535,0.019605,0.006535,0.019605,0.006535,0.019605,0.006535
9,5254.27,1.32187,4.4505,1.52582,0.71681,0.56234,0.63775,0.44328,1.12742,3.41548,1.39547,0.01812,0.00604,0.01812,0.00604,0.01812,0.00604,0.01812,0.00604
10,5844.38,1.30827,4.33441,1.51338,0.72922,0.5606,0.64617,0.45151,1.10811,3.34522,1.38746,0.016635,0.005545,0.016635,0.005545,0.016635,0.005545,0.016635,0.005545
11,6414.06,1.22978,3.6528,1.48236,0.7737,0.5669,0.66976,0.477,1.05816,3.09432,1.33922,0.01515,0.00505,0.01515,0.00505,0.01515,0.00505,0.01515,0.00505
12,6957.13,1.19999,3.44495,1.4578,0.7746,0.60104,0.69088,0.4948,1.04028,2.85488,1.30761,0.013665,0.004555,0.013665,0.004555,0.013665,0.004555,0.013665,0.004555
13,7694.53,1.18727,3.30152,1.44039,0.78071,0.62599,0.7122,0.51365,1.02981,2.7115,1.2953,0.01218,0.00406,0.01218,0.00406,0.01218,0.00406,0.01218,0.00406
14,8288.66,1.16598,3.15784,1.42414,0.79436,0.62371,0.71809,0.52282,1.00888,2.65584,1.27147,0.010695,0.003565,0.010695,0.003565,0.010695,0.003565,0.010695,0.003565
15,8832.28,1.15073,3.0102,1.40829,0.79663,0.62991,0.72286,0.53124,0.98601,2.60369,1.26201,0.00921,0.00307,0.00921,0.00307,0.00921,0.00307,0.00921,0.00307
16,9399.91,1.12839,2.87578,1.38696,0.80741,0.64113,0.73389,0.54274,0.96641,2.52209,1.24598,0.007725,0.002575,0.007725,0.002575,0.007725,0.002575,0.007725,0.002575
17,9988.89,1.11191,2.78017,1.37631,0.81581,0.64538,0.73739,0.54843,0.95332,2.47534,1.23225,0.00624,0.00208,0.00624,0.00208,0.00624,0.00208,0.00624,0.00208
18,10534.5,1.10241,2.64959,1.36278,0.81568,0.64551,0.74344,0.55425,0.95199,2.45679,1.22936,0.004755,0.001585,0.004755,0.001585,0.004755,0.001585,0.004755,0.001585
19,11078.3,1.08149,2.56292,1.35091,0.80117,0.66443,0.75057,0.55865,0.95182,2.43193,1.22757,0.00327,0.00109,0.00327,0.00109,0.00327,0.00109,0.00327,0.00109
20,11666.7,1.0739,2.47984,1.34141,0.80875,0.66798,0.75463,0.56239,0.95109,2.40286,1.22468,0.001785,0.000595,0.001785,0.000595,0.001785,0.000595,0.001785,0.000595
